ticknumb	location	day1	day2	day3
2111	City	2.64	1.35	1.61
2229	Rural	0.97	1.41	0.29
2338	City	0.84	NA	NA
2384	Rural	3.03	NA	NA
2401	Rural	0.88	0.08	NA
2405	City	0.85	NA	NA
2467	Rural	1.56	NA	NA
2478	Rural	3.02	NA	NA
2490	City	2.29	NA	NA
2504	Rural	1.11	0.44	0.55
2509	City	2.17	NA	NA
2510	Rural	0.82	0.2	0.47
2514	City	1.41	NA	NA
2515	Rural	1.76	1.64	1.58
2520	City	1.38	0.02	NA
2521	Rural	2.79	NA	NA
2529	City	1.5	NA	NA
2533	Rural	1.91	2.05	NA
2535	Rural	2.32	NA	NA
2538	City	2.05	NA	NA
2549	City	2.17	0.7	0.76
2551	Rural	2.05	NA	NA
2558	Rural	1.61	NA	NA
2562	Rural	1.66	0.85	NA
2565	Rural	2.3	NA	NA
2566	Rural	2.76	NA	NA
2568	Rural	1.44	NA	NA
2586	Rural	1.06	NA	NA
2601	City	3.23	NA	NA
2602	City	0.97	0.38	0.76
2604	City	2.57	0.11	0.02
2606	Rural	0.26	NA	NA
2609	Rural	0.47	NA	NA
2611	Rural	1.73	NA	NA
2612	City	1.94	0.82	1.67
2616	City	1.91	NA	NA
2624	Rural	2.08	0.91	0.96
2633	Rural	1.91	NA	NA
2642	Rural	1.42	NA	NA
2644	City	1.5	NA	NA
2662	Rural	0.11	NA	NA
2663	City	1.67	NA	NA
2664	City	2.08	NA	NA
2669	Rural	2.05	NA	NA
2670	City	2	NA	NA
2675	City	1.52	NA	NA
2676	Rural	1.58	NA	NA
2677	City	1.28	0.38	0.14
2681	City	1.88	NA	NA
2685	Rural	1.32	NA	NA
2686	Rural	2.09	NA	NA
2687	City	2	NA	NA
2688	Rural	2.64	NA	NA
2689	City	0.85	0.32	0.52
2692	Rural	2.47	0.23	0.38
2698	Rural	1.79	NA	NA
2709	Rural	1.64	NA	NA
2710	City	1.32	NA	NA
2712	Rural	2.97	NA	NA
2726	Rural	1.44	0.14	NA
2727	Rural	2.02	NA	NA
2728	City	1.79	NA	NA
2730	City	1.34	NA	NA
2731	Rural	2.29	1.9	NA
2732	Rural	1.66	NA	NA
2734	Rural	0.6	NA	NA
2735	Rural	1.76	0.76	0.29
2736	Rural	1.5	NA	NA
2737	Rural	2.08	0.7	NA
2748	Rural	1	0.55	NA
2752	City	1.73	NA	NA
2756	Rural	1.05	0.38	NA
2758	City	2.81	NA	NA
2759	Rural	1.52	NA	NA
2768	City	1.47	NA	NA
2769	Rural	2.64	NA	NA
2770	Rural	2.2	1.18	NA
2771	City	0.55	0.79	NA
2772	City	2.29	NA	NA
2773	Rural	2	NA	NA
2775	City	2.23	NA	NA
2779	Rural	2.45	NA	NA
2780	City	1.2	NA	NA
2783	City	2.91	2.08	2.11
2784	Rural	1.14	1	NA
2788	City	1.88	NA	NA
2789	City	0.94	NA	NA
2791	Rural	1.85	NA	NA
2794	Rural	2.58	NA	NA
2796	Rural	0.61	NA	NA
2799	City	0.7	NA	NA
2806	City	1.38	NA	NA
2807	Rural	1.94	NA	NA
2811	Rural	2.29	NA	NA
2812	City	1.59	NA	NA
2813	Rural	2.46	NA	NA
2814	Rural	1.67	0.14	NA
2825	Rural	2.02	0.58	0.5
2827	City	1.5	NA	NA
2828	Rural	2.7	1.7	1.91
2829	Rural	1.61	NA	NA
2830	City	2.29	NA	NA
2831	Rural	0.97	1.06	0.76
2839	City	1.85	NA	NA
2842	Rural	2.76	NA	NA
2857	City	1.64	NA	NA
2858	City	1.17	NA	NA
2859	City	1.57	NA	NA
2862	Rural	2.23	NA	NA
2863	Rural	2.05	1.58	2.15
2875	Rural	2.05	NA	NA
2876	Rural	2.94	NA	NA
2883	Rural	2.39	NA	NA
2890	City	1.94	NA	NA
2894	Rural	2.12	NA	NA
2895	Rural	1.11	NA	NA
2897	Rural	0.97	NA	NA
2898	Rural	1.35	NA	NA
2899	Rural	2.81	2.08	NA
2900	Rural	2.5	NA	NA
2901	City	1.87	NA	NA
2920	City	1.33	NA	NA
2921	Rural	1.26	NA	NA
2922	Rural	1.44	NA	NA
2923	City	0.55	NA	NA
2924	Rural	1.75	NA	NA
2925	Rural	2.08	NA	NA
2932	City	0.85	NA	NA
2933	Rural	2.52	NA	NA
2935	Rural	3	NA	NA
2936	Rural	1.41	NA	NA
2937	Rural	1.08	NA	NA
2938	City	1.2	1.38	1.5
2940	City	1.94	1.44	NA
2941	Rural	2.26	1.73	1.73
2942	City	1.41	NA	NA
2948	Rural	2.5	NA	NA
2952	City	2.17	NA	NA
2953	City	1.82	1.11	NA
2954	Rural	1.44	1.14	NA
2956	Rural	1.66	NA	NA
2957	City	1.82	NA	NA
2958	City	1.26	NA	NA
2959	Rural	2.67	NA	NA
2961	Rural	1.47	NA	NA
2962	Rural	1.84	NA	NA
2964	Rural	2.58	NA	NA
2966	City	1.73	NA	NA
2967	City	1.23	NA	NA
2968	City	2.32	NA	NA
2972	Rural	2.67	NA	NA
2974	Rural	1.02	NA	NA
2975	Rural	1.66	2.12	2.7
