WaterbodyName,Years,SampleDate,Alkalinity-total (as CaCO3),Ammonia-Total (as N),BOD - 5 days (Total),Chloride,Conductivity @25°C,Dissolved Oxygen,ortho-Phosphate (as P) - unspecified,pH,Temperature,Total Hardness (as CaCO3),True Colour,CCME_Values,CCME_WQI,WAWQI_Values,WAWQI,Horton_values,Horton WQI,Brown_values,Brown WQI,SRDD_values,SRDD WQI
ABBEYTOWN_010,2023,Feb,314.0,0.033,1.2,27.3,711.0,52.5,0.019,7.8,10.4,370.0,24.0,64.10596801863736,Moderate,68.12123337023183,Good,117.5909090909091,Unsuitable,72.72655079,Good,38.469342154096005,Poor
Allua,2007,Aug,14.0,0.033,1.2,10.0,71.0,61.85,0.019,7.42,17.8,13.4,35.0,76.75370841857125,Fair,68.94646259180315,Good,33.82545454545454,Moderate,97.64988839,Excellent,96.242574425536,Excellent
Allua,2007,Aug,17.0,0.033,1.2,11.5,79.0,61.8,0.019,7.67,18.1,15.8,29.0,77.22281702678384,Fair,68.96114015188884,Good,35.03454545454545,Moderate,97.38831039,Excellent,95.983951935936,Excellent
Allua,2007,Aug,18.0,0.033,1.2,11.3,78.0,62.4,0.019,7.63,17.8,15.9,31.0,76.95351057669222,Fair,68.99717432452766,Good,35.22,Moderate,97.30332719,Excellent,95.922072105456,Excellent
Allua,2007,Sep,19.0,0.033,1.2,10.5,76.0,66.05,0.019,7.33,20.1,15.4,23.0,76.86765306543646,Fair,69.4497248708019,Good,36.27454545454545,Moderate,97.18203319,Excellent,95.710180268656,Excellent
Allua,2007,Sep,19.0,0.066,1.2,11.4,81.0,65.95,0.019,7.39,20.5,17.1,26.0,76.65921797535864,Fair,68.80680786586345,Good,36.796363636363644,Moderate,97.14025898,Excellent,95.548895864304,Excellent
Allua,2007,Sep,18.0,0.033,1.2,11.6,81.0,63.15,0.019,8.1,20.8,16.8,25.0,77.27125775987955,Fair,69.03691086757442,Good,35.96363636363636,Moderate,97.27949879,Excellent,95.740531432896,Excellent
Allua,2008,Jan,8.0,0.069,1.2,13.2,69.0,54.1,0.005,6.89,8.9,10.8,33.0,78.43520927299178,Fair,92.76972370953852,Excellent,30.37818181818182,Poor,98.19380027,Excellent,97.151709214656,Excellent
Allua,2008,Jan,9.0,0.068,1.2,14.8,77.0,54.0,0.005,6.89,9.7,11.7,28.0,78.867253601502,Fair,92.83388665752888,Excellent,31.30545454545455,Moderate,98.09713424,Excellent,96.996794183424,Excellent
Allua,2008,Jan,10.0,0.067,1.2,15.0,84.0,54.6,0.019,7.06,9.5,11.0,31.0,78.49647245507634,Fair,67.84504701693047,Good,32.33090909090909,Moderate,98.00894261,Excellent,96.807217109104,Excellent
Allua,2008,Feb,14.0,0.133,1.2,16.1,88.0,53.75,0.019,6.83,7.5,16.1,17.0,82.26878392843743,Good,66.79467922920156,Good,32.765454545454546,Moderate,97.62833219,Excellent,96.766879544256,Excellent
Allua,2008,Feb,14.0,0.111,1.2,15.2,82.0,54.15,0.019,6.83,8.4,14.7,18.0,82.17084135077275,Good,67.20977335256839,Good,32.28363636363636,Moderate,97.65479353,Excellent,96.835785177024,Excellent
Allua,2008,Feb,14.0,0.113,1.2,15.8,85.0,53.7,0.019,6.82,7.6,15.7,17.0,82.28105708148976,Good,67.14942316813998,Good,32.443636363636365,Moderate,97.64970079,Excellent,96.823164312576,Excellent
Allua,2008,Mar,15.0,0.033,1.4,16.0,106.0,53.9,0.019,7.18,6.6,17.0,22.0,79.39124557282341,Fair,68.461929215749,Good,34.66545454545455,Moderate,97.61473719,Excellent,96.406746134256,Excellent
Allua,2008,Mar,13.0,0.04,1.2,15.7,159.0,53.35,0.005,6.88,6.4,15.0,22.0,79.50791125308048,Fair,93.34678941928576,Excellent,38.96545454545455,Moderate,97.7945346,Excellent,95.7388306524,Excellent
Allua,2008,Mar,12.0,0.039,1.1,16.0,144.0,53.4,0.019,7.23,6.3,16.3,24.0,79.32781898226983,Fair,68.2938003154807,Good,37.68363636363637,Moderate,97.86161437,Excellent,95.9552354544,Excellent
Allua,2008,Apr,14.0,0.08,1.2,19.5,102.0,59.8,0.019,6.98,11.3,20.1,15.0,80.83250556435026,Good,68.24274850733352,Good,36.60181818181818,Moderate,97.5195646,Excellent,95.934727872496,Excellent
Allua,2008,Apr,14.0,0.099,1.2,19.5,99.0,62.5,0.019,6.99,12.8,18.9,17.0,80.22171682337354,Good,68.10676441244203,Good,37.31454545454545,Moderate,97.46761797,Excellent,95.7454337244,Excellent
Allua,2008,Apr,12.0,0.129,1.2,19.6,99.0,61.0,0.019,6.95,11.6,19.1,9.0,80.55881000384935,Good,67.54224754355255,Good,36.581818181818186,Moderate,97.62186167,Excellent,96.01079271,Excellent
Allua,2008,May,14.0,0.052,1.2,19.1,101.0,58.55,0.019,7.24,13.3,152.0,13.0,81.12146865390346,Good,68.5943141519176,Good,36.11454545454545,Moderate,96.99243856,Excellent,94.262078003184,Excellent
Allua,2008,May,16.0,0.058,1.2,18.3,93.0,58.5,0.019,7.1,13.7,19.1,14.0,81.13311001485971,Good,68.51269314927221,Good,35.42727272727273,Moderate,97.41696554,Excellent,96.091676605296,Excellent
