"serial" "s1gender" "ethsfr" "famsec" "s1pared" "s1expel" "s1truan" "s1weight" "s1peta2" "gcsepts" "graddsci" "satdsci" "gradfren" "satfren" "gradit" "satit" "gradphys" "satphys" "gradchem" "satchem" "gradbiol" "satbiol" "gradmath" "satmath" "gradeng" "sateng" "pcschtype"
"1" 20008 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.799573134316697 "5+ A*-C" 76.5 "Fail" "No" "A*" "Yes" NA "No" "A" "Yes" "A" "Yes" "A" "Yes" "A*" "Yes" "A" "Yes" "Independent"
"2" 20032 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.943299935868168 "5+ A*-C" 39 "C" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Independent"
"3" 20040 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.799573134316697 "5+ A*-C" 69.5 "B" "Yes" "A" "Yes" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "A*" "Yes" "Independent"
"4" 20065 "Female" "White" "Semi routine and routine occupations" "Neither parent with A-level" "Not excluded" "No truancy" 2.2260242776145 "1-4 A*-C" 33.5 "Fail" "No" NA "No" NA "No" NA "No" NA "No" "D" "Yes" "C" "Yes" "B" "Yes" "Independent"
"5" 20081 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.799573134316697 "5+ A*-C" 76 "Fail" "No" "A*" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A" "Yes" "Independent"
"6" 20099 "Female" "Other ethnic group(inc mixed)" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "Occasional truancy" 0.799573134316697 "5+ A*-C" 68 "Fail" "No" "B" "Yes" "A" "Yes" "B" "Yes" NA "No" NA "No" "A" "Yes" "A" "Yes" "Independent"
"7" 20107 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "Occasional truancy" 0.799573134316697 "5+ A*-C" 77 "Fail" "No" "A*" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A" "Yes" "A*" "Yes" "Independent"
"8" 20149 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.799573134316697 "5+ A*-C" 70 "Fail" "No" "A*" "Yes" NA "No" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "Independent"
"9" 20164 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 72 "Fail" "No" NA "No" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "Independent"
"10" 20172 "Male" "White" "Intermediate occupations" "At least one parent with A-level" "Not excluded" "No truancy" 1.09751230816243 "5+ A*-C" 52 "D" "Yes" "B" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Independent"
"11" 20180 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 59 "B" "Yes" "B" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Independent"
"12" 20214 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 57 "Fail" "No" "C" "Yes" NA "No" "C" "Yes" "C" "Yes" "C" "Yes" "B" "Yes" "B" "Yes" "Independent"
